label,data
0,../data/floorplan_crop/5.pt
0,../data/floorplan_crop/6.pt
0,../data/floorplan_crop/17.pt
0,../data/floorplan_crop/22.pt
0,../data/floorplan_crop/25.pt
0,../data/floorplan_crop/27.pt
0,../data/floorplan_crop/29.pt
0,../data/floorplan_crop/34.pt
0,../data/floorplan_crop/37.pt
0,../data/floorplan_crop/80.pt
0,../data/floorplan_crop/194.pt
0,../data/floorplan_crop/227.pt
0,../data/floorplan_crop/248.pt
0,../data/floorplan_crop/274.pt
0,../data/floorplan_crop/277.pt
0,../data/floorplan_crop/287.pt
0,../data/floorplan_crop/288.pt
0,../data/floorplan_crop/301.pt
0,../data/floorplan_crop/304.pt
0,../data/floorplan_crop/322.pt
0,../data/floorplan_crop/346.pt
0,../data/floorplan_crop/350.pt
0,../data/floorplan_crop/388.pt
0,../data/floorplan_crop/389.pt
0,../data/floorplan_crop/401.pt
0,../data/floorplan_crop/410.pt
0,../data/floorplan_crop/428.pt
0,../data/floorplan_crop/462.pt
0,../data/floorplan_crop/464.pt
0,../data/floorplan_crop/494.pt
0,../data/floorplan_crop/509.pt
0,../data/floorplan_crop/519.pt
0,../data/floorplan_crop/545.pt
0,../data/floorplan_crop/589.pt
0,../data/floorplan_crop/628.pt
0,../data/floorplan_crop/648.pt
0,../data/floorplan_crop/655.pt
0,../data/floorplan_crop/660.pt
0,../data/floorplan_crop/661.pt
0,../data/floorplan_crop/681.pt
0,../data/floorplan_crop/698.pt
0,../data/floorplan_crop/702.pt
0,../data/floorplan_crop/714.pt
0,../data/floorplan_crop/732.pt
0,../data/floorplan_crop/749.pt
0,../data/floorplan_crop/753.pt
0,../data/floorplan_crop/764.pt
0,../data/floorplan_crop/773.pt
0,../data/floorplan_crop/861.pt
0,../data/floorplan_crop/884.pt
0,../data/floorplan_crop/928.pt
0,../data/floorplan_crop/952.pt
0,../data/floorplan_crop/955.pt
0,../data/floorplan_crop/1065.pt
0,../data/floorplan_crop/1077.pt
0,../data/floorplan_crop/1155.pt
0,../data/floorplan_crop/1232.pt
0,../data/floorplan_crop/1247.pt
0,../data/floorplan_crop/1250.pt
0,../data/floorplan_crop/1256.pt
0,../data/floorplan_crop/1260.pt
0,../data/floorplan_crop/1272.pt
0,../data/floorplan_crop/1276.pt
0,../data/floorplan_crop/1282.pt
0,../data/floorplan_crop/1303.pt
0,../data/floorplan_crop/1367.pt
0,../data/floorplan_crop/1414.pt
0,../data/floorplan_crop/1432.pt
0,../data/floorplan_crop/1445.pt
0,../data/floorplan_crop/1449.pt
0,../data/floorplan_crop/1457.pt
0,../data/floorplan_crop/1477.pt
0,../data/floorplan_crop/1567.pt
0,../data/floorplan_crop/1570.pt
0,../data/floorplan_crop/1580.pt
0,../data/floorplan_crop/1581.pt
0,../data/floorplan_crop/1622.pt
0,../data/floorplan_crop/1652.pt
0,../data/floorplan_crop/1707.pt
0,../data/floorplan_crop/1713.pt
0,../data/floorplan_crop/1754.pt
0,../data/floorplan_crop/1777.pt
0,../data/floorplan_crop/1786.pt
0,../data/floorplan_crop/1825.pt
0,../data/floorplan_crop/1831.pt
0,../data/floorplan_crop/1845.pt
0,../data/floorplan_crop/1851.pt
0,../data/floorplan_crop/1860.pt
0,../data/floorplan_crop/1882.pt
0,../data/floorplan_crop/1977.pt
0,../data/floorplan_crop/1987.pt
0,../data/floorplan_crop/2032.pt
0,../data/floorplan_crop/2168.pt
0,../data/floorplan_crop/2248.pt
0,../data/floorplan_crop/2282.pt
0,../data/floorplan_crop/2312.pt
0,../data/floorplan_crop/2327.pt
0,../data/floorplan_crop/2336.pt
0,../data/floorplan_crop/2341.pt
0,../data/floorplan_crop/2365.pt
0,../data/floorplan_crop/2420.pt
0,../data/floorplan_crop/2432.pt
0,../data/floorplan_crop/2439.pt
0,../data/floorplan_crop/2450.pt
0,../data/floorplan_crop/2478.pt
0,../data/floorplan_crop/2484.pt
0,../data/floorplan_crop/2534.pt
0,../data/floorplan_crop/2557.pt
0,../data/floorplan_crop/2606.pt
0,../data/floorplan_crop/2608.pt
0,../data/floorplan_crop/2613.pt
0,../data/floorplan_crop/2646.pt
0,../data/floorplan_crop/2649.pt
0,../data/floorplan_crop/2650.pt
0,../data/floorplan_crop/2668.pt
0,../data/floorplan_crop/2695.pt
0,../data/floorplan_crop/2702.pt
0,../data/floorplan_crop/2707.pt
0,../data/floorplan_crop/2714.pt
0,../data/floorplan_crop/2715.pt
0,../data/floorplan_crop/2721.pt
