label,data
0,../data/img_residential_original/0.pt
0,../data/img_residential_original/100.pt
0,../data/img_residential_original/1003.pt
0,../data/img_residential_original/1005.pt
0,../data/img_residential_original/102.pt
0,../data/img_residential_original/1024.pt
0,../data/img_residential_original/1032.pt
0,../data/img_residential_original/1039.pt
0,../data/img_residential_original/1053.pt
0,../data/img_residential_original/1054.pt
0,../data/img_residential_original/1065.pt
0,../data/img_residential_original/1072.pt
0,../data/img_residential_original/108.pt
0,../data/img_residential_original/1080.pt
0,../data/img_residential_original/1081.pt
0,../data/img_residential_original/1082.pt
0,../data/img_residential_original/1084.pt
0,../data/img_residential_original/1097.pt
0,../data/img_residential_original/1105.pt
0,../data/img_residential_original/1121.pt
0,../data/img_residential_original/1122.pt
0,../data/img_residential_original/1124.pt
0,../data/img_residential_original/1125.pt
0,../data/img_residential_original/1130.pt
0,../data/img_residential_original/1148.pt
0,../data/img_residential_original/1154.pt
0,../data/img_residential_original/1161.pt
0,../data/img_residential_original/1172.pt
0,../data/img_residential_original/1176.pt
0,../data/img_residential_original/118.pt
0,../data/img_residential_original/1192.pt
0,../data/img_residential_original/1194.pt
0,../data/img_residential_original/12.pt
0,../data/img_residential_original/1204.pt
0,../data/img_residential_original/1235.pt
0,../data/img_residential_original/1236.pt
0,../data/img_residential_original/1257.pt
0,../data/img_residential_original/1259.pt
0,../data/img_residential_original/1260.pt
0,../data/img_residential_original/1262.pt
0,../data/img_residential_original/1263.pt
0,../data/img_residential_original/1267.pt
0,../data/img_residential_original/1268.pt
0,../data/img_residential_original/1269.pt
0,../data/img_residential_original/1287.pt
0,../data/img_residential_original/1292.pt
0,../data/img_residential_original/1295.pt
0,../data/img_residential_original/1304.pt
0,../data/img_residential_original/1308.pt
0,../data/img_residential_original/1312.pt
0,../data/img_residential_original/1318.pt
0,../data/img_residential_original/1319.pt
0,../data/img_residential_original/1320.pt
0,../data/img_residential_original/1323.pt
0,../data/img_residential_original/1326.pt
0,../data/img_residential_original/1341.pt
0,../data/img_residential_original/1351.pt
0,../data/img_residential_original/1356.pt
0,../data/img_residential_original/1358.pt
0,../data/img_residential_original/1361.pt
0,../data/img_residential_original/1372.pt
0,../data/img_residential_original/1379.pt
0,../data/img_residential_original/1383.pt
0,../data/img_residential_original/1388.pt
0,../data/img_residential_original/1391.pt
0,../data/img_residential_original/1409.pt
0,../data/img_residential_original/1419.pt
0,../data/img_residential_original/1426.pt
0,../data/img_residential_original/1437.pt
0,../data/img_residential_original/1440.pt
0,../data/img_residential_original/1446.pt
0,../data/img_residential_original/1451.pt
0,../data/img_residential_original/1457.pt
0,../data/img_residential_original/1470.pt
0,../data/img_residential_original/1476.pt
0,../data/img_residential_original/1481.pt
0,../data/img_residential_original/1483.pt
0,../data/img_residential_original/1484.pt
0,../data/img_residential_original/149.pt
0,../data/img_residential_original/1491.pt
