objectID,footprint,area,height,label,data,index
467,3040.0,6486.16085,14.37,2,../data/data_root/data00/467.pt,467
830,5809.0,8504.32425,24.46,2,../data/data_root/data00/830.pt,830
875,12177.0,14821.347668164062,33.88,2,../data/data_root/data00/875.pt,875
999,7139.0,7495.81265625,23.25,2,../data/data_root/data00/999.pt,999
1126,3675.0,8396.90625,24.87,2,../data/data_root/data00/1126.pt,1126
1278,21328.0,28277.8798,44.88,2,../data/data_root/data00/1278.pt,1278
1323,3892.0,4475.118471875,23.04,2,../data/data_root/data00/1323.pt,1323
1360,8107.0,24935.33051875,33.17,2,../data/data_root/data00/1360.pt,1360
1450,4934.0,8325.4685,28.09,2,../data/data_root/data00/1450.pt,1450
1483,7839.0,10159.593646875,30.75,2,../data/data_root/data00/1483.pt,1483
1489,6045.0,8264.5609,22.04,2,../data/data_root/data00/1489.pt,1489
1491,5739.0,8258.3903125,26.4,2,../data/data_root/data00/1491.pt,1491
1496,4970.0,8259.488884375,21.99,2,../data/data_root/data00/1496.pt,1496
1572,5492.0,6733.19569375,19.29,2,../data/data_root/data00/1572.pt,1572
1574,22998.0,32280.456040625,54.8,2,../data/data_root/data00/1574.pt,1574
1684,11676.0,13658.489040625,20.25,2,../data/data_root/data00/1684.pt,1684
1836,3779.0,5932.24781484375,19.77,2,../data/data_root/data00/1836.pt,1836
2072,4433.0,5019.473440625,33.61,2,../data/data_root/data00/2072.pt,2072
2088,19536.0,130964.882065625,58.98,2,../data/data_root/data00/2088.pt,2088
2100,57174.0,62234.61372070313,42.66,2,../data/data_root/data00/2100.pt,2100
2106,3118.0,5855.05,19.41,2,../data/data_root/data00/2106.pt,2106
2123,3551.0,9660.03545,18.5,2,../data/data_root/data00/2123.pt,2123
2131,5129.0,7518.71906875,28.21,2,../data/data_root/data00/2131.pt,2131
2207,7761.0,19244.00025,35.73,2,../data/data_root/data00/2207.pt,2207
2243,4913.0,6446.803859375,21.92,2,../data/data_root/data00/2243.pt,2243
2272,9317.0,11828.443492773438,36.7,2,../data/data_root/data00/2272.pt,2272
2387,3845.0,9008.98745,20.32,2,../data/data_root/data00/2387.pt,2387
2404,9284.0,16620.543707421875,35.66,2,../data/data_root/data00/2404.pt,2404
2423,11858.0,14255.190753125,27.51,2,../data/data_root/data00/2423.pt,2423
2424,8045.0,11153.719475,38.01,2,../data/data_root/data00/2424.pt,2424
2435,5100.0,8267.05015,21.35,2,../data/data_root/data00/2435.pt,2435
2445,12544.0,14263.0658875,38.06,2,../data/data_root/data00/2445.pt,2445
2447,7025.0,14339.0021125,22.09,2,../data/data_root/data00/2447.pt,2447
2483,6758.0,253492.3728611328,31.98,2,../data/data_root/data00/2483.pt,2483
2509,6621.0,8234.27015625,38.45,2,../data/data_root/data00/2509.pt,2509
2523,5614.0,7503.276134375,20.87,2,../data/data_root/data00/2523.pt,2523
2557,5001.0,7573.867215625,20.81,2,../data/data_root/data00/2557.pt,2557
2560,9954.0,18821.0801375,18.5,2,../data/data_root/data00/2560.pt,2560
2605,29728.0,37471.2244,68.11,2,../data/data_root/data00/2605.pt,2605
2682,5332.0,8257.217296875,22.84,2,../data/data_root/data00/2682.pt,2682
2690,6015.0,8269.268353125,25.82,2,../data/data_root/data00/2690.pt,2690
2694,2200.0,8255.6844,10.7,2,../data/data_root/data00/2694.pt,2694
2708,6071.0,8256.4512125,23.53,2,../data/data_root/data00/2708.pt,2708
2786,5253.0,7502.861075,25.85,2,../data/data_root/data00/2786.pt,2786
2840,6068.0,7552.223859375,13.29,2,../data/data_root/data00/2840.pt,2840
2890,6327.0,8266.944257421876,25.89,2,../data/data_root/data00/2890.pt,2890
3004,5939.0,8249.133121875,21.51,2,../data/data_root/data00/3004.pt,3004
3035,4430.0,6795.54245,19.99,2,../data/data_root/data00/3035.pt,3035
3036,13980.0,20252.57175,23.13,2,../data/data_root/data00/3036.pt,3036
3037,10488.0,18176.43045,37.31,2,../data/data_root/data00/3037.pt,3037
3056,5161.0,8096.2852,24.85,2,../data/data_root/data00/3056.pt,3056
3111,7762.0,13048.41199375,25.79,2,../data/data_root/data00/3111.pt,3111
3133,4473.0,11355.778688671875,16.06,2,../data/data_root/data00/3133.pt,3133
3195,11196.0,14704.761421875,22.0,2,../data/data_root/data00/3195.pt,3195
3209,5547.0,7486.6151,22.47,2,../data/data_root/data00/3209.pt,3209
3379,3497.0,5879.187746875,20.52,2,../data/data_root/data00/3379.pt,3379
3459,3555.0,4500.50325,37.82,2,../data/data_root/data00/3459.pt,3459
3493,3584.0,11760.656984375,24.86,2,../data/data_root/data00/3493.pt,3493
3519,4943.0,8994.87045,35.2,2,../data/data_root/data00/3519.pt,3519
3554,3523.0,6771.2116,23.01,2,../data/data_root/data00/3554.pt,3554
3557,9558.0,18017.41241875,20.65,2,../data/data_root/data00/3557.pt,3557
3561,5389.0,7895.96168125,25.56,2,../data/data_root/data00/3561.pt,3561
3657,3668.0,6751.24625,13.08,2,../data/data_root/data00/3657.pt,3657
3677,5844.0,8264.6625375,23.45,2,../data/data_root/data00/3677.pt,3677
3728,5409.0,13219.485625,25.12,2,../data/data_root/data00/3728.pt,3728
3729,3994.0,6086.3767,20.96,2,../data/data_root/data00/3729.pt,3729
3778,3633.0,5853.5757,18.02,2,../data/data_root/data00/3778.pt,3778
3796,5652.0,9671.417378125,26.07,2,../data/data_root/data00/3796.pt,3796
3887,8287.0,12942.4624,42.97,2,../data/data_root/data00/3887.pt,3887
